ID	CCLE name	Cell line primary name	Gender	Batch	Site Primary	Histology	Hist Subtype1
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C01_240898	EFO27_OVARY	EFO-27	F	1	ovary	carcinoma	mucinous_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C02_240900	A2780_OVARY	A2780	F	1	ovary	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C03_240902	NCIH196_LUNG	NCI-H196	M	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C04_240904	IGROV1_OVARY	IGROV1	F	1	ovary	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C05_240906	NCIH889_LUNG	NCI-H889	F	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C06_240908	NCIH211_LUNG	NCI-H211	F	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C07_240910	HS571T_OVARY	Hs 571.T	F	1	ovary	carcinoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C10_240916	MDAPCA2B_PROSTATE	MDA PCa 2b	M	1	prostate	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C11_240918	SKMEL24_SKIN	SK-MEL-24	M	1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C12_240920	K029AX_SKIN	K029AX		1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D01_240922	HT1376_URINARY_TRACT	HT-1376	F	1	urinary_tract	carcinoma	transitional_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D03_240926	NCIH2171_LUNG	NCI-H2171	M	1	lung	carcinoma	small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D04_240928	PANC1005_PANCREAS	Panc 10.05	M	1	pancreas	carcinoma	ductal_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D05_240930	EVSAT_BREAST	EVSA-T	F	1	breast	carcinoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D06_240932	HS695T_SKIN	Hs 695T	M	1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D08_240936	CHL1_SKIN	CHL-1		1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D09_240938	LOUNH91_LUNG	LOU-NH91	F	1	lung	carcinoma	squamous_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D11_240942	LK2_LUNG	LK-2	M	1	lung	carcinoma	squamous_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D12_240944	TOV21G_OVARY	TOV-21G	F	1	ovary	carcinoma	clear_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E01_240946	SKMEL3_SKIN	SK-MEL-3	F	1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E02_240948	ASPC1_PANCREAS	AsPC-1	F	1	pancreas	carcinoma	ductal_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E04_240952	OVSAHO_OVARY	OVSAHO	F	1	ovary	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E05_240954	NCIH441_LUNG	NCI-H441	M	1	lung	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E07_240958	RERFLCSQ1_LUNG	RERF-LC-Sq1	F	1	lung	carcinoma	squamous_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E08_240960	NCIH2030_LUNG	NCI-H2030	M	1	lung	carcinoma	non_small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E10_240964	HMCB_SKIN	HMCB		1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E12_240968	FUOV1_OVARY	FU-OV-1	F	1	ovary	carcinoma	serous_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_F02_240972	MALME3M_SKIN	Malme-3M	M	1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_F04_240976	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-12-BM	F	1	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_F06_240980	T98G_CENTRAL_NERVOUS_SYSTEM	T98G	M	1	central_nervous_system	glioma	astrocytoma_Grade_IV
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_F07_240982	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL-60	F	1	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_F10_240988	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG-05MG	F	1	central_nervous_system	glioma	astrocytoma_Grade_IV
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G01_240994	HEYA8_OVARY	Hey-A8	F	1	ovary	carcinoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G02_240996	NCIH2122_LUNG	NCI-H2122	F	1	lung	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G03_240998	MELJUSO_SKIN	MEL-JUSO	F	1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G04_241000	SW620_LARGE_INTESTINE	SW620	M	1	large_intestine	carcinoma	adenocarcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G05_241002	HCT116_LARGE_INTESTINE	HCT 116	M	1	large_intestine	carcinoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G06_241004	VMRCRCZ_KIDNEY	VMRC-RCZ		1	kidney	carcinoma	renal_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G07_241006	DU145_PROSTATE	DU 145	M	1	prostate	carcinoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G08_241008	MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1-S		1	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G09_241010	L33_PANCREAS	L3.3		1	pancreas	carcinoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G12_241016	SKMEL2_SKIN	SK-MEL-2	M	1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H01_241018	A549_LUNG	A549	M	1	lung	carcinoma	non_small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H02_241020	A172_CENTRAL_NERVOUS_SYSTEM	A172	M	1	central_nervous_system	glioma	astrocytoma_Grade_IV
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H03_241022	NCIH1975_LUNG	NCI-H1975	F	1	lung	carcinoma	non_small_cell_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H06_241028	COLO679_SKIN	COLO-679	F	1	skin	malignant_melanoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H07_241030	KP2_PANCREAS	KP-2	F	1	pancreas	carcinoma	NS
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H09_241034	HUH1_LIVER	huH-1	M	1	liver	carcinoma	hepatocellular_carcinoma
METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H10_241036	MDAMB453_BREAST	MDA-MB-453	F	1	breast	carcinoma	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_A01_241042	MDAMB231_BREAST	MDA-MB-231	F	2	breast	carcinoma	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_A02_241044	OV90_OVARY	OV-90	F	2	ovary	carcinoma	mixed_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_A07_241054	RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RS4;11	F	2	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_A09_241058	OVTOKO_OVARY	OVTOKO	F	2	ovary	carcinoma	clear_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_A11_241062	OVCAR4_OVARY	OVCAR-4	F	2	ovary	carcinoma	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_A12_241064	HLF_LIVER	HLF	M	2	liver	carcinoma	hepatocellular_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_B01_241066	HCT15_LARGE_INTESTINE	HCT-15	M	2	large_intestine	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_B05_241074	SW1463_LARGE_INTESTINE	SW1463	F	2	large_intestine	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_B10_241084	SF295_CENTRAL_NERVOUS_SYSTEM	SF-295		2	central_nervous_system	glioma	astrocytoma_Grade_IV
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_B12_241088	WM115_SKIN	WM-115	F	2	skin	malignant_melanoma	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C01_241090	JHH4_LIVER	JHH-4	M	2	liver	carcinoma	hepatocellular_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C02_241092	OE33_OESOPHAGUS	OE33	F	2	oesophagus	other	metaplasia
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C04_241096	CCK81_LARGE_INTESTINE	CCK-81		2	large_intestine	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C07_241102	JHH1_LIVER	JHH-1	M	2	liver	carcinoma	hepatocellular_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C09_241106	SJSA1_BONE	SJSA-1	M	2	bone	osteosarcoma	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C10_241108	NCIH2228_LUNG	NCI-H2228	F	2	lung	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C12_241112	RERFLCAI_LUNG	RERF-LC-AI	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D01_241114	SKMES1_LUNG	SK-MES-1	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D02_241116	NCIH520_LUNG	NCI-H520	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D04_241120	JHH5_LIVER	JHH-5	M	2	liver	carcinoma	hepatocellular_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D05_241122	FU97_STOMACH	FU97	F	2	stomach	carcinoma	diffuse_adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D06_241124	COLO800_SKIN	COLO-800		2	skin	malignant_melanoma	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D08_241128	NCIH1963_LUNG	NCI-H1963	M	2	lung	carcinoma	small_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D11_241134	RL952_ENDOMETRIUM	RL95-2	F	2	endometrium	carcinoma	mixed_adenosquamous_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_D12_241136	J82_URINARY_TRACT	J82	M	2	urinary_tract	carcinoma	transitional_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E01_241138	HCC15_LUNG	HCC-15	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E03_241142	M059K_CENTRAL_NERVOUS_SYSTEM	M059K	M	2	central_nervous_system	glioma	astrocytoma_Grade_IV
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E04_241144	CALU6_LUNG	Calu-6	F	2	lung	carcinoma	undifferentiated_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E06_241148	SKLU1_LUNG	SK-LU-1	F	2	lung	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E08_241152	SW900_LUNG	SW 900	M	2	lung	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E09_241154	UACC62_SKIN	UACC-62		2	skin	malignant_melanoma	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E10_241156	MFE280_ENDOMETRIUM	MFE-280	F	2	endometrium	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E11_241158	MFE319_ENDOMETRIUM	MFE-319	F	2	endometrium	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E12_241160	MFE296_ENDOMETRIUM	MFE-296	F	2	endometrium	carcinoma	adenocarcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_F07_241174	GOS3_CENTRAL_NERVOUS_SYSTEM	GOS-3	M	2	central_nervous_system	glioma	astrocytoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_F10_241180	GI1_CENTRAL_NERVOUS_SYSTEM	GI-1	M	2	central_nervous_system	glioma	gliosarcoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G01_241186	PC14_LUNG	PC-14		2	lung	carcinoma	non_small_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G02_241188	KYSE410_OESOPHAGUS	KYSE-410	M	2	oesophagus	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G04_241192	A204_SOFT_TISSUE	A-204	F	2	soft_tissue	rhabdoid_tumour	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G05_241194	PATU8902_PANCREAS	PA-TU-8902	F	2	pancreas	carcinoma	ductal_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G07_241198	NCIH810_LUNG	NCI-H810	M	2	lung	carcinoma	large_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G12_241208	RERFLCMS_LUNG	RERF-LC-MS		2	lung	carcinoma	non_small_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_H01_241210	L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-1236	M	2	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Hodgkin_lymphoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_H04_241216	DANG_PANCREAS	DAN-G		2	pancreas	carcinoma	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_H05_241218	NCIH460_LUNG	NCI-H460	M	2	lung	carcinoma	large_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_H06_241220	KYSE140_OESOPHAGUS	KYSE-140	M	2	oesophagus	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_H09_241226	KYSE180_OESOPHAGUS	KYSE-180	M	2	oesophagus	carcinoma	squamous_cell_carcinoma
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_H10_241228	HUPT3_PANCREAS	HUP-T3	M	2	pancreas	carcinoma	NS
BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_H11_241230	EFE184_ENDOMETRIUM	EFE-184	F	2	endometrium	carcinoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A01_257598	SW579_THYROID	SW579	M	2	thyroid	carcinoma	anaplastic_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A02_257600	MDAMB468_BREAST	MDA-MB-468	F	2	breast	carcinoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A05_257606	NCIH526_LUNG	NCI-H526	M	2	lung	carcinoma	small_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A08_257612	TOV112D_OVARY	TOV-112D	F	2	ovary	carcinoma	endometrioid_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A09_257614	BT549_BREAST	BT-549	F	2	breast	carcinoma	ductal_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A10_257616	NCIH2196_LUNG	NCI-H2196	M	2	lung	carcinoma	small_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A11_257618	CAL851_BREAST	CAL-85-1	F	2	breast	carcinoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A12_257620	EFO21_OVARY	EFO-21	F	2	ovary	carcinoma	serous_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B01_257622	A375_SKIN	A-375	F	2	skin	malignant_melanoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B02_257624	HT29_LARGE_INTESTINE	HT-29	F	2	large_intestine	carcinoma	adenocarcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B03_257626	NCIH446_LUNG	NCI-H446	M	2	lung	carcinoma	small_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B05_257630	HS294T_SKIN	Hs 294T	M	2	skin	malignant_melanoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B06_257632	SKMEL5_SKIN	SK-MEL-5	F	2	skin	malignant_melanoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B07_257634	HS944T_SKIN	Hs 944.T	M	2	skin	malignant_melanoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B08_257636	TCCPAN2_PANCREAS	TCC-PAN2	F	2	pancreas	carcinoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B10_257640	RMGI_OVARY	RMG-I	F	2	ovary	carcinoma	clear_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B11_257642	PC3_PROSTATE	PC-3	M	2	prostate	carcinoma	adenocarcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B12_257644	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K-562	F	2	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C01_257646	RT112_URINARY_TRACT	RT-112	F	2	urinary_tract	carcinoma	transitional_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C02_257648	NUGC3_STOMACH	NUGC-3	M	2	stomach	carcinoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C03_257650	U87MG_CENTRAL_NERVOUS_SYSTEM	U-87 MG	F	2	central_nervous_system	glioma	astrocytoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C04_257652	CAKI2_KIDNEY	Caki-2	M	2	kidney	carcinoma	clear_cell_renal_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C06_257656	OE19_OESOPHAGUS	OE19	M	2	oesophagus	carcinoma	adenocarcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C07_257658	KMRC2_KIDNEY	KMRC-2	M	2	kidney	carcinoma	clear_cell_renal_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C08_257660	JHH2_LIVER	JHH-2	M	2	liver	carcinoma	hepatocellular_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C09_257662	IM95_STOMACH	IM95	M	2	stomach	carcinoma	intestinal_adenocarcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C10_257664	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV-4-11	M	2	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C12_257668	WM2664_SKIN	WM-266-4	F	2	skin	malignant_melanoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D02_257672	KMRC1_KIDNEY	KMRC-1	M	2	kidney	carcinoma	clear_cell_renal_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D03_257674	KM12_LARGE_INTESTINE	KM12		2	large_intestine	carcinoma	adenocarcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D04_257676	COLO849_SKIN	COLO-849	M	2	skin	malignant_melanoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D06_257680	T84_LARGE_INTESTINE	T84	M	2	large_intestine	carcinoma	adenocarcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D07_257682	CALU1_LUNG	Calu-1	M	2	lung	carcinoma	squamous_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D08_257684	LOXIMVI_SKIN	LOX IMVI		2	skin	malignant_melanoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D09_257686	NCIH2170_LUNG	NCI-H2170	M	2	lung	carcinoma	squamous_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D10_257688	SQ1_LUNG	Sq-1		2	lung	carcinoma	squamous_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D11_257690	AN3CA_ENDOMETRIUM	AN3 CA	F	2	endometrium	carcinoma	adenocarcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D12_257692	NCIH2444_LUNG	NCI-H2444	M	2	lung	carcinoma	non_small_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E01_257694	UACC257_SKIN	UACC-257		2	skin	malignant_melanoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E02_257696	KYSE510_OESOPHAGUS	KYSE-510	F	2	oesophagus	carcinoma	squamous_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E03_257698	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM-13	M	2	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E04_257700	HUPT4_PANCREAS	HUP-T4	M	2	pancreas	carcinoma	NS
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E05_257702	MOGGCCM_CENTRAL_NERVOUS_SYSTEM	MOG-G-CCM		2	central_nervous_system	glioma	astrocytoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E06_257704	KYSE30_OESOPHAGUS	KYSE-30	M	2	oesophagus	carcinoma	squamous_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E07_257706	KYSE150_OESOPHAGUS	KYSE-150	F	2	oesophagus	carcinoma	squamous_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E08_257708	PSN1_PANCREAS	PSN1		2	pancreas	carcinoma	ductal_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E09_257710	NCIH1299_LUNG	NCI-H1299	M	2	lung	carcinoma	non_small_cell_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E11_257714	PATU8988T_PANCREAS	PA-TU-8988T	F	2	pancreas	carcinoma	ductal_carcinoma
PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E12_257716	IGR37_SKIN	IGR-37	M	2	skin	malignant_melanoma	NS
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A01_295990	PANC0403_PANCREAS	Panc 04.03	M	3	pancreas	carcinoma	NS
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A02_295992	TYKNU_OVARY	TYK-nu	F	3	ovary	carcinoma	undifferentiated_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A03_295994	OVISE_OVARY	OVISE	F	3	ovary	carcinoma	clear_cell_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A05_295998	EFM19_BREAST	EFM-19	F	3	breast	carcinoma	ductal_carcinoma
NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A06_296000	MELHO_SKIN	MEL-HO	F	3	skin	malignant_melanoma	NS
